Date,PNL (OX),Cumulative PNL (OX)
2024-11-08,23770100.0,-488043008.0
2024-11-09,-30217737.0,-518260745.0
2024-11-10,-79511059.0,-597771804.0
2024-11-11,-213458316.0,-811230120.0
2024-11-12,-20523163.0,-831753283.0
2024-11-13,-26168299.0,-857921582.0
2024-11-14,18481171.0,-839440411.0
2024-11-15,-107049491.0,-946489902.0
2024-11-16,72051716.0,-874438186.0
2024-11-17,128178686.0,-746259500.0
2024-11-18,-22898842.0,-769158342.0
2024-11-19,136016218.0,-633142124.0
2024-11-20,32511978.0,-600630146.0
2024-11-21,-161538197.0,-762168343.0
2024-11-22,100560476.0,-661607867.0
2024-11-23,-16745970.0,-678353837.0
2024-11-24,53512436.0,-624841401.0
2024-11-25,88056800.0,-536784601.0
2024-11-26,151868897.0,-384915704.0
2024-11-27,-363364953.0,-748280657.0
2024-11-28,109237972.0,-639042685.0
2024-11-29,-34171888.0,-673214573.0
2024-11-30,-3914954.0,-677129527.0
2024-12-01,-875757.0,-678005284.0
2024-12-02,55145827.0,-622859457.0
2024-12-03,-37996697.0,-660856154.0
2024-12-04,-60156285.0,-721012439.0
2024-12-05,160577620.0,-560434819.0
2024-12-06,-239905301.0,-800340120.0
2024-12-07,30351425.0,-769988695.0
2024-12-08,-10527368.0,-780516063.0
2024-12-09,584121953.0,-196394110.0
2024-12-10,-41811905.0,-238206015.0
2024-12-11,-122077896.0,-360283911.0
2024-12-12,-2632347.0,-362916258.0
2024-12-13,-28646847.0,-391563105.0
2024-12-14,35276424.0,-356286681.0
2024-12-15,-15181066.0,-371467747.0
2024-12-16,-9534060.0,-381001807.0
2024-12-17,14627149.0,-366374658.0
2024-12-18,52649670.0,-313724988.0
2024-12-19,91445967.0,-222279021.0
2024-12-20,-15070940.0,-237349961.0
2024-12-21,65891082.0,-171458879.0
2024-12-22,40410530.0,-131048349.0
2024-12-23,-71392367.0,-202440716.0
2024-12-24,-51835593.0,-254276309.0
2024-12-25,3530678.0,-250745631.0
2024-12-26,85941862.0,-164803769.0
2024-12-27,18566665.0,-146237104.0
2024-12-28,-58058887.0,-204295991.0
2024-12-29,98037054.0,-106258937.0
2024-12-30,-7874427.0,-114133364.0
2024-12-31,-10719165.0,-124852529.0
2025-01-01,-53039044.0,-177891573.0
2025-01-02,-92381475.0,-270273048.0
2025-01-03,-83871545.0,-354144593.0
2025-01-04,1493446.0,-352651147.0
2025-01-05,550052.0,-352101095.0
2025-01-06,-29986875.0,-382087970.0
2025-01-07,96308661.0,-285779309.0
2025-01-08,46157112.0,-239622197.0
2025-01-09,121718444.0,-117903753.0
2025-01-10,-59524410.0,-177428163.0
2025-01-11,-21751876.0,-199180039.0
2025-01-12,28561438.0,-170618601.0
2025-01-13,-24416397.0,-195034998.0
2025-01-14,-89329627.0,-284364625.0
2025-01-15,-147572421.0,-431937046.0
2025-01-16,47741519.0,-384195527.0
2025-01-17,-67891608.0,-452087135.0
2025-01-18,94765834.0,-357321301.0
2025-01-19,3447486.0,-353873815.0
2025-01-20,-41075642.0,-394949457.0
2025-01-21,-41028795.0,-435978252.0
2025-01-22,-61879565.0,-497857817.0
2025-01-23,-2168932.0,-500026749.0
2025-01-24,12800370.0,-487226379.0
2025-01-25,-18365432.0,-505591811.0
2025-01-26,35782766.0,-469809045.0
2025-01-27,-15484006.0,-485293051.0
2025-01-28,33770089.0,-451522962.0
2025-01-29,-82846100.0,-534369062.0
2025-01-30,-78124619.0,-612493681.0
2025-01-31,29730375.0,-582763306.0
2025-02-01,186083320.0,-396679986.0
2025-02-02,99804125.0,-296875861.0
2025-02-03,-55604543.0,-352480404.0
2025-02-04,9672272.0,-342808132.0
2025-02-05,-35900552.0,-378708684.0
2025-02-06,16042296.0,-362666388.0
2025-02-07,20095660.0,-342570728.0
2025-02-08,-52560831.0,-395131559.0
2025-02-09,-16858057.0,-411989616.0
2025-02-10,-48628560.0,-460618176.0
2025-02-11,39562124.0,-421056052.0
2025-02-12,-82903647.0,-503959699.0
2025-02-13,41198825.0,-462760874.0
2025-02-14,-74850035.0,-537610909.0
2025-02-15,9918777.0,-527692132.0
2025-02-16,39654618.0,-488037514.0
2025-02-17,-28088599.0,-516126113.0
2025-02-18,49633768.0,-466492345.0
2025-02-19,-19315176.0,-485807521.0
2025-02-20,-32322640.0,-518130161.0
2025-02-21,102688484.0,-415441677.0
2025-02-22,-57978381.0,-473420058.0
2025-02-23,-8662877.0,-482082935.0
2025-02-24,-16251146.0,-498334081.0
